split,image,psnr,ssim,lpips,generated_sha256
lolv2_real,low00773.png,23.737378757815204,0.8047690275049288,0.2919299602508545,f5b2bd802e0a43aa57575cf453c374a92ad5049fd6e2a58d536e856bfed4c3a5
lolv2_real,low00774.png,23.67716642740941,0.7933337760231232,0.29176759719848633,06a0f0caca9fbe1698f84099bb7bce8e8f80585e4aa1e1b3d7f7b52d4e0b2128
lolv2_real,low00775.png,24.227406171501148,0.825781302054871,0.13747721910476685,d01bb47c1bff0560b72066a4458c5048f8cd8fa262a0b48babbe93ed581810c3
lolv2_real,low00776.png,23.883334394577712,0.8240529699228153,0.13542236387729645,dd1dfac162430faf9f6bf97fed70d90195c68ac14136a99f4f1cb8157c5f2b00
lolv2_real,low00777.png,23.19580803311041,0.7435011961980998,0.20664751529693604,b0ecbaa0cd42cbb2117949ee826214a4267df34432548a797bb7c8654a3c7398
lolv2_real,low00778.png,23.227286607040007,0.7587755159314326,0.2084020972251892,71dbd8267f15c4b19e1a313c7865e232d9863565c56fd0e1b508501b6d4cefcd
lolv2_real,low00779.png,26.408330135375557,0.8178348566596502,0.1818981170654297,e2a149101daa5b7106f09d1ab51caaab053a8bc4ffbd56ed319edc3c4ab27462
lolv2_real,low00780.png,26.40263711722364,0.8190801131404362,0.18318414688110352,70197ea969ea38c151289bfde793ca38278c97c67c8f65187844f4e38be2830e
lolv2_real,low00781.png,22.432274177970612,0.8399685610721382,0.12986287474632263,d7a1d28117d905b33a6e0be9ac2689f77b936772e08d9edc6db78c739a115a81
lolv2_real,low00782.png,22.535535190192405,0.8596375058855766,0.1241011917591095,c7cb1206026a37eff10cbf57d525a09d3726f45acde6adef8c2e27e9757e11eb
lolv2_real,low00783.png,22.575042802606497,0.8596177368182487,0.1262110322713852,5b6c5c95d9d2a22d9f30ef799ce3c5cdfa7724c88da9e3c6fdcb4dda713da94b
lolv2_real,low00784.png,20.02700695831649,0.7740169621986083,0.24033696949481964,6ac21c6a15c95b8971c10e39b4d3b00c34c95b53f55905bceaab9f8a0806ce3b
lolv2_real,low00785.png,19.935619317366495,0.766429244962955,0.2371184229850769,b0e3ab4ebf87a5126d2f732629c4781c97a90ee16477b46aa08f1c84241ef1d7
lolv2_real,low00786.png,20.102795386113858,0.7798699223340116,0.24069304764270782,a55972b7c8d6106a919c6f8cbe7a197a63c6110d9006e22b59d8d56f5d279b86
lolv2_real,low00787.png,21.92586815381995,0.6889938238091508,0.31685322523117065,268353c49d3658cc5525f8b6558bc31c6a6d6952303c6d192ba7f39b6ceaef51
lolv2_real,low00788.png,21.281244955069916,0.6940861724130897,0.3204876780509949,a64810b7ccd117f521016cdf7f816b6391d9ca035c505985640269f5a875c094
lolv2_real,low00789.png,21.591142510798225,0.6882018431329261,0.3207375407218933,e522c3adf8a92d87784e1f11c749df62a5e61b30c09ded9e162aa9625ac63081
